pid,cid,time,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
1,10,2.820500,-0.102197,0.949975,0.393712,-0.060676,0.898301,0.301691,-0.010567,0.883279,0.228223,0.034323,0.851229,0.118223,0.008363,0.778897,0.014275,-0.051046,0.931450,0.010012,-0.106872,0.778753,-0.067497,-0.343711,-0.792192,0.113246,0.717856,-0.534327,-0.394429,-0.033596,-0.220302,-0.039510,-0.072730,-0.213491,-0.138773,-0.008070,-0.112275,-0.036406,-0.032961,0.160459,-0.005376,-0.096867,-0.615005,-0.108795
1,11,2.455500,-0.066350,0.954326,0.341823,-0.023881,0.901037,0.252154,0.022986,0.885968,0.176539,0.064596,0.855026,0.065529,0.039722,0.780911,-0.033787,-0.017865,0.933010,-0.034943,-0.078255,0.778314,-0.105978,-0.370658,-0.793371,0.083497,0.722506,-0.536790,-0.373112,-0.025374,-0.200750,-0.060571,-0.076341,-0.216224,-0.149749,0.003116,-0.141762,-0.037914,-0.018964,0.125463,-0.010160,-0.100535,-0.582822,-0.105028
1,12,2.098600,0.182824,0.800596,0.363955,0.170644,0.783395,0.253064,0.173432,0.792486,0.165951,0.147389,0.801746,0.046978,0.062567,0.772935,-0.031414,0.010410,0.921827,-0.007846,-0.080264,0.777857,-0.057273,-0.322502,-0.643872,-0.020347,0.510103,-0.544293,-0.618284,0.105215,0.086914,-0.193310,0.021804,0.101751,-0.256235,0.017447,-0.348737,-0.001478,-0.097595,-0.105052,0.014481,-0.125429,-0.424200,-0.083793
1,13,2.098700,-0.091181,0.947840,0.352192,-0.039543,0.905204,0.260278,0.019841,0.885928,0.193581,0.071050,0.853516,0.086600,0.045857,0.781716,-0.012985,-0.013294,0.933378,-0.018533,-0.071204,0.778036,-0.088449,-0.366607,-0.821480,-0.033575,0.709585,-0.521053,-0.354518,-0.035748,-0.287639,-0.094752,-0.063397,-0.217418,-0.171609,0.006640,-0.145182,-0.048087,-0.025932,0.154435,-0.001464,-0.099466,-0.593109,-0.099878
1,14,1.922100,0.215268,0.934639,0.322753,0.191841,0.888590,0.222028,0.182047,0.874681,0.134599,0.142817,0.848820,0.021620,0.053713,0.776305,-0.046418,-0.001684,0.931716,-0.024696,-0.092485,0.776744,-0.063799,-0.229977,-0.554200,0.217619,0.539990,-0.606865,-0.577790,-0.036117,0.129011,-0.095419,-0.109100,0.128057,-0.141637,0.046643,-0.355967,-0.033202,-0.027617,-0.141922,0.007412,-0.110695,-0.400880,-0.076501
1,15,1.476900,0.032545,0.933175,0.377168,0.053997,0.888968,0.274707,0.089377,0.874590,0.193446,0.108979,0.848773,0.074875,0.063533,0.780487,-0.019847,0.000715,0.932369,-0.009807,-0.067620,0.777711,-0.072211,-0.298965,-0.730023,0.108372,0.653422,-0.570022,-0.453993,-0.013576,-0.127068,-0.103763,-0.062293,-0.104939,-0.172405,-0.005701,-0.230214,-0.058855,-0.036939,0.049151,-0.007943,-0.085406,-0.509166,-0.093749
1,16,1.899300,0.047327,0.951737,0.364353,0.068841,0.906143,0.262651,0.101465,0.887670,0.180438,0.115743,0.856565,0.062441,0.062551,0.780299,-0.030029,0.000641,0.934283,-0.023544,-0.069457,0.776328,-0.084378,-0.351749,-0.732101,0.051193,0.633886,-0.591442,-0.435657,-0.044390,-0.120626,-0.091982,-0.086408,-0.069911,-0.133869,0.024776,-0.223293,-0.054808,-0.015493,0.034843,0.000311,-0.085456,-0.520007,-0.085259
1,17,1.732100,0.186101,0.803608,0.357073,0.170251,0.794044,0.244902,0.182455,0.797308,0.157005,0.161087,0.802774,0.036853,0.073434,0.773578,-0.044455,0.015814,0.923719,-0.021939,-0.069526,0.777863,-0.074761,-0.247448,-0.625612,-0.025290,0.503424,-0.540655,-0.632167,0.080904,0.033627,-0.198566,0.021362,0.114381,-0.244855,-0.001803,-0.321499,-0.018913,-0.087389,-0.073778,0.015461,-0.111136,-0.440541,-0.084964
1,18,1.920600,-0.065146,0.846639,0.381479,-0.019836,0.826221,0.279402,0.035574,0.823444,0.208271,0.079643,0.817991,0.093602,0.047747,0.776660,-0.012850,-0.013739,0.931087,-0.009946,-0.075485,0.779675,-0.077140,-0.279936,-0.805507,-0.080652,0.667378,-0.485552,-0.440850,0.081720,-0.238342,-0.144301,0.045047,-0.160835,-0.209638,-0.043350,-0.176326,-0.051816,-0.046523,0.125067,-0.005608,-0.087054,-0.545522,-0.113117
1,19,1.821500,0.018546,1.065976,0.300184,0.037575,0.991822,0.217742,0.072533,0.953138,0.143560,0.086332,0.892402,0.037910,0.036094,0.787971,-0.029901,-0.025516,0.934542,-0.024462,-0.098470,0.772827,-0.070746,-0.474336,-0.712422,0.137353,0.668039,-0.642008,-0.351844,-0.185127,-0.137030,-0.023575,-0.207464,-0.063899,-0.070273,0.059467,-0.286514,-0.073385,0.002977,-0.011257,-0.004038,-0.093239,-0.478715,-0.064817
